"Voucher No.","Date","Amount","Why it is flagged","Recommended action"
"EXP/26-26/077","2026-01-31","USD 5.00","USD currency is certain but no historical transaction-date rate is stored","Authoritative USD-to-IDR rate and rate source/date"
"EXP/26-26/088","2026-02-10","IDR 12165503.00","No unique authoritative relationship exists in stored data","Transaction currency, historical exchange rate with source/date, exact payment method, and/or paying bank account"
"EXP/26-26/089","2026-02-10","IDR 300000.00","No unique authoritative relationship exists in stored data","Transaction currency, historical exchange rate with source/date, exact payment method, and/or paying bank account"
"EXP/26/074","2026-02-11","IDR 500000.00","No unique authoritative relationship exists in stored data","Transaction currency, historical exchange rate with source/date, exact payment method, and/or paying bank account"
"EXP/26/075","2026-02-11","IDR 2721317.00","No unique authoritative relationship exists in stored data","Transaction currency, historical exchange rate with source/date, exact payment method, and/or paying bank account"
"EXP/26/076","2026-02-11","IDR 3050280.00","No unique authoritative relationship exists in stored data","Transaction currency, historical exchange rate with source/date, exact payment method, and/or paying bank account"
"EXP/26/090","2026-02-18","IDR 570000.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"JE2602-0125","2026-02-18","IDR 570000.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"EXP/26-26/078","2026-02-28","USD 5.00","No unique authoritative relationship exists in stored data","Transaction currency, historical exchange rate with source/date, exact payment method, and/or paying bank account"
"EXP/26-26/078","2026-02-28","USD 5.00","USD currency is certain but no historical transaction-date rate is stored","Authoritative USD-to-IDR rate and rate source/date"
"EXP/26-26/079","2026-02-28","USD 5.00","No unique authoritative relationship exists in stored data","Transaction currency, historical exchange rate with source/date, exact payment method, and/or paying bank account"
"EXP/26-26/079","2026-02-28","USD 5.00","USD currency is certain but no historical transaction-date rate is stored","Authoritative USD-to-IDR rate and rate source/date"
"CC2603-0001","2026-03-04","USD 2000.00","Legacy USD capital contribution has no authoritative historical exchange rate; accounting amounts were preserved unchanged","Authoritative USD-to-IDR rate and rate source for the contribution date"
"JE2607-0050","2026-03-04","USD 2000.00","Journal metadata cannot be derived from a unique stored source relationship","Correct source module/document and/or authoritative historical currency rate"
"JE2607-0050","2026-03-04","USD 2000.00","USD transaction currency is proven, but no authoritative historical rate is stored; posted amounts were preserved","Authoritative USD-to-IDR rate and rate source/date; accountant approval before functional values are corrected"
"PV/25-26/004","2026-03-30","IDR 21000.00","No unique authoritative relationship exists in stored payment data","Transaction currency, historical rate with source/date, exact payment method, and/or paying bank account"
"EXP/26-26/080","2026-03-31","USD 5.00","No unique authoritative relationship exists in stored data","Transaction currency, historical exchange rate with source/date, exact payment method, and/or paying bank account"
"EXP/26-26/080","2026-03-31","USD 5.00","USD currency is certain but no historical transaction-date rate is stored","Authoritative USD-to-IDR rate and rate source/date"
"EXP/26-26/090","2026-04-14","IDR 12000000.00","No unique authoritative relationship exists in stored data","Transaction currency, historical exchange rate with source/date, exact payment method, and/or paying bank account"
"EXP/26-26/091","2026-04-14","IDR 1342000.00","No unique authoritative relationship exists in stored data","Transaction currency, historical exchange rate with source/date, exact payment method, and/or paying bank account"
"PV/26-27/001","2026-04-21","IDR 9548.50","No unique authoritative relationship exists in stored payment data","Transaction currency, historical rate with source/date, exact payment method, and/or paying bank account"
"EXP/26-26/081","2026-04-30","USD 5.00","No unique authoritative relationship exists in stored data","Transaction currency, historical exchange rate with source/date, exact payment method, and/or paying bank account"
"EXP/26-26/081","2026-04-30","USD 5.00","USD currency is certain but no historical transaction-date rate is stored","Authoritative USD-to-IDR rate and rate source/date"
"EXP/26-26/082","2026-05-31","USD 5.00","No unique authoritative relationship exists in stored data","Transaction currency, historical exchange rate with source/date, exact payment method, and/or paying bank account"
"EXP/26-26/082","2026-05-31","USD 5.00","USD currency is certain but no historical transaction-date rate is stored","Authoritative USD-to-IDR rate and rate source/date"
"EXP/26-26/086","2026-05-31","IDR 500000.00","No unique authoritative relationship exists in stored data","Transaction currency, historical exchange rate with source/date, exact payment method, and/or paying bank account"
"EXP/26-26/083","2026-06-01","USD 5.00","No unique authoritative relationship exists in stored data","Transaction currency, historical exchange rate with source/date, exact payment method, and/or paying bank account"
"EXP/26-26/083","2026-06-01","USD 5.00","USD currency is certain but no historical transaction-date rate is stored","Authoritative USD-to-IDR rate and rate source/date"
"CC2606-0001","2026-06-11","USD 4200.00","Legacy USD capital contribution has no authoritative historical exchange rate; accounting amounts were preserved unchanged","Authoritative USD-to-IDR rate and rate source for the contribution date"
"JE2607-0049","2026-06-11","USD 4200.00","Journal metadata cannot be derived from a unique stored source relationship","Correct source module/document and/or authoritative historical currency rate"
"JE2607-0049","2026-06-11","USD 4200.00","USD transaction currency is proven, but no authoritative historical rate is stored; posted amounts were preserved","Authoritative USD-to-IDR rate and rate source/date; accountant approval before functional values are corrected"
"RV2606-0009","2026-06-16","IDR 26.25","No unique authoritative relationship exists in stored receipt data","Transaction currency, historical rate with source/date, exact payment method, and/or receiving bank account"
"EXP/26-26/087","2026-07-02","IDR 1835000.00","No unique authoritative relationship exists in stored data","Transaction currency, historical exchange rate with source/date, exact payment method, and/or paying bank account"
"RV2607-0003","2026-07-17","IDR 20057700.00","No unique authoritative relationship exists in stored receipt data","Transaction currency, historical rate with source/date, exact payment method, and/or receiving bank account"
"RV2607-0004","2026-07-20","IDR 485913600.00","No unique authoritative relationship exists in stored receipt data","Transaction currency, historical rate with source/date, exact payment method, and/or receiving bank account"
"RV2607-0007","2026-07-23","IDR 26004500.00","No unique authoritative relationship exists in stored receipt data","Transaction currency, historical rate with source/date, exact payment method, and/or receiving bank account"
